gov_name_f,gov_name_a,gov_id,Nom_du_site,Nom_monument,Dtae,Latitude,Longitude,,
Manubah,منوبة,14,وادي الليل,الحنايا الرومانية,07/12/1892,"36°50'31.54""N","10° 2'26.26""E",,
Nabeul,نابل,15,المركز الثقافي الدولي بالحمامات,دار سيباستيان والحديقة المحيطة بها,15/01/2001,"36°24'18.89""N","10°35'19.77""E",,
Nabeul,نابل,15,برج فوارة,الضريح الروماني,08/05/1895,"36°30'57.30""N","10°26'10.10""E",,
Nabeul,نابل,15,ديار الحجاج,المقبرة الأثرية,03/03/1915,"36°37'37.79""N","10°51'48.57""E",,
Nabeul,نابل,15,سوق الأبيض,بقايا الحصن,01/03/1905,"36°27'4.85""N","10°44'7.15""E",,
Nabeul,نابل,15,سيدي عاشور,الجامع,03/03/1915,"36°27'18.01""N","10°43'24.63""E",,
Nabeul,نابل,15,قصر الزيت,الحصن البيزنطي,06/01/1901,"36°14'18.92""N"," 9°55'26.83""E",,
Nabeul,نابل,15,قصر الزيت,الحنايا الرومانية,06/01/1901,"36°14'18.98""N"," 9°55'24.99""E",,
Nabeul,نابل,15,قصر الزيت,الكنيسة الأثرية,06/01/1901,"36°14'18.98""N"," 9°55'24.99""E",,
Nabeul,نابل,15,قصر الزيت,المعبد الروماني,06/01/1901,"36°14'18.98""N"," 9°55'24.99""E",,
